source,target,weight
AGR,NDN,0.6801525437048593
AGR,NHA,0.7184694867910347
AGR,NHH,0.6903633611415746
AGR,NKG,0.7476847929939529
AGR,NLG,0.6568038707108724
AGR,ORS,0.7026239504369242
AGR,PAN,0.7135334321913962
AGR,PC1,0.7178085639905525
AGR,PET,0.6737852964815373
AGR,PSI,0.7970543083412137
AGR,PVT,0.683268248691098
AGR,S99,0.6779489674872072
AGR,SBS,0.759695566351495
AGR,SBT,0.6771405773072533
AGR,SCR,0.7111986432276138
AGR,SHB,0.7109392465577216
AGR,SHS,0.8295937773039961
AGR,SSI,0.8481338070647338
AGR,STB,0.6616913584444823
AGR,SZC,0.7378978116294428
AGR,TCB,0.6829384366116542
AGR,TCH,0.6883769997259555
AGR,TCI,0.7474563844032323
AGR,TIP,0.6761845618235978
AGR,TLH,0.7327918271413233
AGR,TNG,0.7284286068933172
AGR,TNT,0.6775645682353568
AGR,TPB,0.6657496194607115
AGR,TTF,0.673011193848327
AGR,TVB,0.7270347810991894
AGR,VCI,0.8521145257801286
AGR,VDS,0.8008753284963163
AGR,VGS,0.7171503737120578
AGR,VIB,0.7459716939419538
AGR,VIG,0.6966765187068786
AGR,VIX,0.7947094527898165
AGR,VND,0.798788237971871
AGR,VOS,0.6563757458000116
AGR,WSS,0.7541794895284356
AIG,AMP,0.6573229585325953
AIG,BCB,-0.6573156457835552
AIG,BCR,-0.6901087339256342
AIG,BGE,-0.6556552224820241
AIG,BTH,0.6521863146770706
AIG,CVN,-0.7186490597333828
AIG,CX8,0.6849192358704804
AIG,DKG,-0.6895396897172896
AIG,DVG,-0.7407034799199136
AIG,GMC,-0.7455925563035035
AIG,HMD,-0.6543063208011438
AIG,HTP,-0.655499617916589
AIG,IRC,-0.797234311200159
AIG,KHS,0.6500892767701125
AIG,L62,-0.6934492646466391
AIG,LDW,-0.7324912017671215
AIG,LM7,-0.7055784511473637
AIG,LNC,-0.7270724865813349
AIG,MND,-0.6775037425248305
AIG,MPY,-0.6696693879168975
AIG,MQB,-0.7403075035357649
AIG,MRF,-0.6545120922758655
AIG,NAC,-0.651853726248012
AIG,NVP,-0.892747122544807
AIG,QBS,-0.7052211871382306
AIG,RYG,0.8410027222820128
AIG,S72,0.680225608002309
AIG,SCD,-0.6672971500278422
AIG,SD4,-0.6630099618693733
AIG,SPD,0.6662120738784786
AIG,SRA,-0.7181742718381269
AIG,TAB,-0.6502934653297988
AIG,TB8,-0.691010145729967
AIG,TCK,-0.6669856385781217
AIG,THN,-0.6594405815614185
AIG,UXC,-0.8085320563037097
AIG,VDG,-0.7927328714283759
AIG,VE8,-0.7365309410754183
AIG,VUA,-0.7751068287920175
AIG,WSB,-0.685385368157693
ALT,QCC,0.6530389862284379
ALV,CSI,0.6560128139353244
ALV,DVW,-0.6572904277885296
ALV,FTI,-0.6524181128446306
ALV,GH3,-0.6568157143293296
ALV,HC1,-0.6595421477095507
ALV,HNM,0.689978918029957
ALV,PBP,0.676170405546226
ALV,TCJ,-0.6728627495713417
AMP,BMV,0.7361402904433453
AMP,HLY,0.6589784932957817
AMP,IN4,-0.6754668819496801
AMP,LCD,0.7062183420772892
AMP,MND,-0.8018153556613358
AMP,MPY,-0.7516896535879731
AMP,NAW,0.6870579189855175
AMP,NGC,0.7547595670016489
AMP,NVP,-0.6557861405302814
AMP,PAP,0.6625930893095086
AMP,PCF,0.6653000895890518
AMP,PIV,0.6894719042884974
AMP,SCD,-0.6907044658162084
AMP,SGC,0.6768247129574968
AMP,TSD,0.6644478630231241
AMP,TVA,0.7108197664694904
AMP,VPC,0.6597415300446244
AMP,VPR,0.673673896717519
AMP,VTH,0.663026003992857
AMS,BCC,0.7380863233652477
AMS,BMI,0.6688494792715385
AMS,BTS,0.776088691700065
AMS,C4G,0.6833265111598781
AMS,GSP,0.6523680692380767
AMS,HAH,0.6572859361635801
AMS,HAP,0.6566763746712261
AMS,HT1,0.6744624880992537
AMS,HTG,0.662450427753509
AMS,NBC,0.6941478531518123
AMS,PAN,0.6573829986873007
AMS,PPH,0.6522699992124915
AMS,THT,0.665579016125765
AMS,TNG,0.6656718184295184
AMS,TTA,0.6520608593881065
AMS,TVD,0.6996927097024951
AMV,BCR,0.6675325336726231
AMV,CVN,0.7412672008412798
AMV,DTC,0.6839729150370574
AMV,DVG,0.719653758346699
AMV,GMC,0.7281968339755953
AMV,IRC,0.738685172697848
AMV,NVP,0.697857483437643
AMV,QBS,0.6698944046814234
AMV,SRA,0.7349098328760725
AMV,TCK,0.6630628374986824
AMV,UXC,0.7046410177936446
AMV,VUA,0.6671078292086111
ANV,APS,0.6620687808775033
ANV,ASM,0.7695358274250076
ANV,BCC,0.7948910619044908
ANV,BCG,0.7302228031681658
ANV,BID,0.6726490368282357
ANV,BMI,0.7224816395731825
ANV,BSI,0.7560491630780891
ANV,BSR,0.7487441743335379
ANV,BTS,0.6802473667331987
ANV,BVS,0.6627645774042602
ANV,C47,0.6767169482199017
ANV,C4G,0.757363688501393
ANV,CEO,0.7161461266189696
ANV,CII,0.6567135916935242
ANV,CKG,0.7403384452678403
ANV,CMX,0.727425687148018
ANV,CSC,0.701704816397377
ANV,CTG,0.7188474641466839
ANV,CTS,0.799654751418991
ANV,DBC,0.7042031619739827
ANV,DCM,0.7577374264117284
ANV,DGW,0.7250205306580622
ANV,DHA,0.6503687924202846
ANV,DIG,0.7040312612389167
ANV,DPG,0.7479284927278038
ANV,DPM,0.7337503084324453
